window,phase,oracle_utility,oracle_cumulative,ucp_utility,ucp_cumulative,ucp_allocation,ucp_beta,ucp_gg1_utility,ucp_gg1_cumulative,ucp_gg1_allocation,ucp_gg1_beta,ucp_gg1_feedback_utility,ucp_gg1_feedback_cumulative,ucp_gg1_feedback_allocation,ucp_gg1_feedback_beta
15,contention,7.252497125393691,114.69485431506459,6.048816671119714,92.06744073328198,3;1;0;0,1.0,7.252497125393691,95.47036078234932,4;0;0;0,1.0,7.252497125393691,98.74280371257004,4;0;0;0,3.7028146211457345
16,contention,6.581347925264125,121.27620224032871,5.9867111243402675,98.05415185762226,3;1;0;0,1.0,6.581347925264125,102.05170870761344,4;0;0;0,1.0,6.581347925264125,105.32415163783416,4;0;0;0,3.777110965859301
17,contention,6.401876035116153,127.67807827544488,4.47002593674595,102.52417779436821,3;0;1;0,1.0,6.401876035116153,108.45358474272959,4;0;0;0,1.0,6.401876035116153,111.72602767295032,4;0;0;0,3.832833224394476
18,contention,6.239987425584131,133.918065701029,2.7794603044854274,105.30363809885364,3;1;0;0,1.0,6.239987425584131,114.69357216831372,4;0;0;0,1.0,6.239987425584131,117.96601509853446,4;0;0;0,3.874624918295857
19,contention,6.058286325401838,139.97635202643085,3.5899996538395174,108.89363775269315,2;2;0;0,1.0,6.058286325401838,120.75185849371556,4;0;0;0,1.0,6.058286325401838,124.0243014239363,4;0;0;0,3.9059686887218925
20,contention,6.621738776464321,146.59809080289517,5.311234649191123,114.20487240188427,2;2;0;0,1.0,5.311234649191123,126.06309314290668,2;2;0;0,1.0,5.5001033227592995,129.52440474669558,0;4;0;0,3.9294765165414196
21,contention,5.724704118662569,152.32279492155774,4.554310286487614,118.7591826883719,2;0;2;0,1.0,4.554310286487614,130.6174034293943,2;0;2;0,1.0,5.724704118662569,135.24910886535815,4;0;0;0,3.9471073874060645
22,contention,6.241774287598455,158.5645692091562,5.691198531793064,124.45038122016496,2;2;0;0,1.0,5.691198531793064,136.30860196118738,2;2;0;0,1.0,5.691198531793064,140.94030739715123,2;2;0;0,3.9603305405545486
23,contention,5.847806189102503,164.4123753982587,4.972936102240841,129.4233173224058,0;2;2;0,1.0,4.972936102240841,141.28153806342823,0;2;2;0,1.0,5.847806189102503,146.78811358625373,0;4;0;0,3.9702479054159117
24,contention,7.341400137402161,171.75377553566085,4.692714929417416,134.1160322518232,2;2;0;0,1.0,4.692714929417416,145.97425299284563,2;2;0;0,1.0,4.692714929417416,151.48082851567113,2;2;0;0,3.9776859290619337
25,contention,7.8465110260954685,179.60028656175632,5.887438661812723,140.00347091363594,3;1;0;0,1.0,7.8465110260954685,153.8207640189411,4;0;0;0,1.0,7.8465110260954685,159.3273395417666,4;0;0;0,3.98326444679645
26,contention,6.595051460643157,186.19533802239948,5.845728822262874,145.84919973589882,3;0;1;0,1.0,6.595051460643157,160.41581547958427,4;0;0;0,1.0,6.595051460643157,165.92239100240977,4;0;0;0,3.9874483350973375
27,contention,7.499319782965358,193.69465780536484,4.211261127830727,150.06046086372956,2;2;0;0,1.0,4.211261127830727,164.627076607415,2;2;0;0,1.0,7.499319782965358,173.42171078537513,4;0;0;0,3.9905862513230033
28,contention,6.511486400054481,200.20614420541932,5.4262634189504055,155.48672428267997,3;1;0;0,1.0,6.511486400054481,171.1385630074695,4;0;0;0,1.0,6.511486400054481,179.9331971854296,4;0;0;0,3.9929396884922523
29,contention,6.547678393342856,206.75382259876218,5.483889010064916,160.9706132927449,3;0;1;0,1.0,6.547678393342856,177.68624140081235,4;0;0;0,1.0,6.547678393342856,186.48087557877247,4;0;0;0,3.994704766369189
30,contention,7.497292265057938,214.25111486382013,6.594050971640806,167.5646642643857,3;0;1;0,1.0,7.497292265057938,185.1835336658703,4;0;0;0,1.0,7.497292265057938,193.97816784383042,4;0;0;0,3.9960285747768918
31,contention,6.660436237611843,220.91155110143197,4.852646325550347,172.41731058993605,3;1;0;0,1.0,6.660436237611843,191.84396990348213,4;0;0;0,1.0,6.660436237611843,200.63860408144225,4;0;0;0,3.997021431082669
32,recovery,7.497179205746483,228.40873030717844,6.5245225926761234,178.94183318261219,2;0;2;0,1.0,6.5245225926761234,198.36849249615827,2;0;2;0,1.0,7.497179205746483,208.13578328718873,4;0;0;0,3.2477660733120017
33,recovery,8.897669636375406,237.30639994355386,8.734875223734683,187.67670840634688,3;1;0;0,1.0,8.897669636375406,207.26616213253368,4;0;0;0,1.0,8.897669636375406,217.03345292356414,4;0;0;0,2.685824554984001
34,recovery,8.168307815797524,245.4747077593514,8.069976152832592,195.74668455917947,3;1;0;0,1.0,8.168307815797524,215.4344699483312,4;0;0;0,1.0,8.168307815797524,225.20176073936167,4;0;0;0,2.2643684162380007
35,recovery,7.397981864460619,252.87268962381202,7.187809776844814,202.93449433602427,2;2;0;0,1.0,7.397981864460619,222.83245181279185,4;0;0;0,1.0,7.397981864460619,232.5997426038223,4;0;0;0,1.9482763121785005
36,recovery,7.896405427528509,260.7690950513405,7.67719304970427,210.61168738572854,3;0;1;0,1.0,7.896405427528509,230.72885724032037,4;0;0;0,1.0,7.896405427528509,240.49614803135083,4;0;0;0,1.7112072341338753
37,recovery,7.813330026535072,268.5824250778756,7.480281628184282,218.09196901391283,3;1;0;0,1.0,7.306879797768612,238.03573703808897,4;0;0;0,1.0,7.306879797768612,247.80302782911943,4;0;0;0,1.5334054256004066
38,recovery,8.617941509828242,277.20036658770385,7.99297065974583,226.08493967365865,2;0;2;0,1.0,7.99297065974583,246.0287076978348,2;0;2;0,1.0,7.99297065974583,255.79599848886525,2;0;2;0,1.400054069200305
39,recovery,8.30971958955135,285.5100861772552,8.010947129043133,234.09588680270178,3;0;1;0,1.0,8.221963896004178,254.25067159383897,4;0;0;0,1.0,8.221963896004178,264.0179623848694,4;0;0;0,1.3000405519002287
