scale,seed,reference_rho,policy,utility_ratio,mean_wait,backpressure,packets,backpressure_per_1k,final_regret
0.7,0,0.1796125,ucp,0.8914227476888523,2.653647672546067,2,5472,0.3654970760233918,17.73286329415137
0.7,0,0.1796125,ucp_gg1,0.8940879073871405,2.489147346696787,2,4752,0.4208754208754209,17.2975887630609
0.7,0,0.1796125,ucp_gg1_feedback,0.8942070915618424,2.555009354941645,2,4474,0.4470272686633885,17.27812357461832
0.7,1,0.18207500000000001,ucp,0.9135120540091762,2.7892130856893247,0,5564,0.0,14.277150742981263
0.7,1,0.18207500000000001,ucp_gg1,0.9172727739735932,2.6384975247484563,0,4820,0.0,13.656343239473017
0.7,1,0.18207500000000001,ucp_gg1_feedback,0.9155222650666808,2.675057778378586,0,4528,0.0,13.945311595173962
0.7,2,0.18195,ucp,0.9168039056742556,2.968822452031959,1,5618,0.17799928800284798,13.710687921324876
0.7,2,0.18195,ucp_gg1,0.9259192515520615,2.84888292718683,1,4974,0.2010454362685967,12.208482034877903
0.7,2,0.18195,ucp_gg1_feedback,0.9193494497318812,2.8257893992665912,1,4678,0.21376656690893545,13.291183130301448
0.7,3,0.18398749999999997,ucp,0.9093937251191448,2.9500385836760064,16,5580,2.867383512544803,15.385618374568594
0.7,3,0.18398749999999997,ucp_gg1,0.9198131034641854,2.9544770929393565,0,4708,0.0,13.616330550653089
0.7,3,0.18398749999999997,ucp_gg1_feedback,0.9244921169359717,2.9135733970446305,0,4532,0.0,12.821799313815092
0.7,4,0.18202500000000002,ucp,0.914433237484731,3.1106834494029294,10,5506,1.8162005085361423,14.297631789716945
0.7,4,0.18202500000000002,ucp_gg1,0.9326442152604951,2.9925691997916637,3,4546,0.6599208095028597,11.254699614713473
0.7,4,0.18202500000000002,ucp_gg1_feedback,0.9317303309192195,2.8808523236877193,3,4246,0.706547338671691,11.407403555190541
0.7,5,0.1807625,ucp,0.9075997746115964,2.6511109396348345,1,5568,0.17959770114942528,15.635517710661873
0.7,5,0.1807625,ucp_gg1,0.9250366056431203,2.625822463407217,1,4590,0.2178649237472767,12.684941786575138
