scale,seed,reference_rho,policy,utility_ratio,mean_wait,backpressure,packets,backpressure_per_1k,final_regret
0.5,0,0.15701249999999997,ucp,0.9081668193903579,4.252337902068101,95,4790,19.832985386221296,12.595427914428726
0.5,0,0.15701249999999997,ucp_gg1,0.9376765292988921,4.072215390714676,42,4172,10.06711409395973,8.548008218615422
0.5,0,0.15701249999999997,ucp_gg1_feedback,0.942210927156507,3.77432910464447,22,3944,5.578093306288032,7.926090509005661
0.5,1,0.15795,ucp,0.9183414400816681,4.00090278027039,46,4826,9.531703273932864,11.67041058865459
0.5,1,0.15795,ucp_gg1,0.9357038171140201,4.142378198258912,33,4398,7.503410641200546,9.189028735175611
0.5,1,0.15795,ucp_gg1_feedback,0.9438435115294528,4.103488378386775,27,4180,6.45933014354067,8.025726614867807
0.5,2,0.1559375,ucp,0.9134196699249534,4.01092642376678,91,4876,18.66283839212469,12.112940960893312
0.5,2,0.1559375,ucp_gg1,0.9214128717586606,3.7006436734934836,53,4288,12.360074626865671,10.994659454963767
0.5,2,0.1559375,ucp_gg1_feedback,0.9380870941572578,3.5964368246045537,22,4172,5.273250239693192,8.66186780000075
0.5,3,0.157375,ucp,0.9159366374051099,3.8827202398678713,59,4840,12.190082644628099,11.580658388427565
0.5,3,0.157375,ucp_gg1,0.9395217639716483,3.5982624087347768,29,4294,6.753609687936656,8.33154622607978
0.5,3,0.157375,ucp_gg1_feedback,0.9425574147171811,3.540356594439518,27,4212,6.410256410256411,7.9133517453283275
0.5,4,0.153675,ucp,0.9145604894723338,3.794002944590516,49,4784,10.24247491638796,11.578030826477075
0.5,4,0.153675,ucp_gg1,0.9370064948685928,3.602199622076598,26,4190,6.205250596658711,8.536340386022061
0.5,4,0.153675,ucp_gg1_feedback,0.9416300983493218,3.4311113376072724,15,3946,3.801317790167258,7.909789235404787
0.5,5,0.157975,ucp,0.9164150767395278,3.8272592034302617,87,4776,18.21608040201005,11.331953094487531
0.5,5,0.157975,ucp_gg1,0.9193134459847153,3.9477834975896484,86,4404,19.527702089009992,10.939009211119725
0.5,5,0.157975,ucp_gg1_feedback,0.9278059509804766,3.4318993150806207,35,3790,9.234828496042216,9.7876452508183
0.5,6,0.15716249999999998,ucp,0.8868775514666797,3.8777455587257763,84,4678,17.956391620350576,15.438827178421093
0.5,6,0.15716249999999998,ucp_gg1,0.8970665100380171,3.686943197815919,74,4292,17.24137931034483,14.048249335114988
0.5,6,0.15716249999999998,ucp_gg1_feedback,0.9018154409568119,3.441712736235844,57,4058,14.046328240512567,13.400120473972649
0.5,7,0.15956250000000002,ucp,0.8929844300662746,4.181817142323222,89,4730,18.816067653276956,15.186669994544758
0.5,7,0.15956250000000002,ucp_gg1,0.9186981881918541,3.743772594854648,28,4164,6.724303554274736,11.537608841905381
0.5,7,0.15956250000000002,ucp_gg1_feedback,0.9284628286607617,3.8574466045767073,18,3952,4.554655870445344,10.151900458456936
0.5,8,0.1588375,ucp,0.8909984182905203,3.7959557641647352,100,4750,21.05263157894737,14.965801503302828
0.5,8,0.1588375,ucp_gg1,0.910517452171933,3.468541617191066,24,4174,5.749880210828941,12.285858863717621
0.5,8,0.1588375,ucp_gg1_feedback,0.9138445422155237,3.325155255901931,11,3940,2.7918781725888326,11.829052931224794
0.5,9,0.157475,ucp,0.893300585038949,4.211246491328273,122,4930,24.746450304259636,14.769749662268893
0.5,9,0.157475,ucp_gg1,0.8944213357244618,3.8629450286815024,80,4372,18.298261665141812,14.614610976036332
0.5,9,0.157475,ucp_gg1_feedback,0.8945730162712018,3.6825762910872273,61,4214,14.475557664926436,14.593614762469429
0.5,10,0.157775,ucp,0.928538858683587,3.609967701132151,53,4826,10.98217985909656,9.795361600185103
0.5,10,0.157775,ucp_gg1,0.9464167756712554,3.3451373802079836,34,4368,7.783882783882784,7.344789746358828
0.5,10,0.157775,ucp_gg1_feedback,0.9522216753029893,3.026945568936171,11,4034,2.7268220128904312,6.549097291716265
0.5,11,0.1569375,ucp,0.908314631182895,3.824470448645073,55,4816,11.420265780730897,12.665661305611948
0.5,11,0.1569375,ucp_gg1,0.9410931411747667,3.5443189194470377,16,4108,3.8948393378773125,8.13755053923839
0.5,11,0.1569375,ucp_gg1_feedback,0.9415961395644938,3.360411533062526,5,4008,1.2475049900199602,8.068065000555976
0.7,0,0.20342500000000002,ucp,0.8628280718161623,7.752941660284354,441,6068,72.67633487145682,22.591188514681107
0.7,0,0.20342500000000002,ucp_gg1,0.9358120775741522,6.879984933930882,142,5124,27.71272443403591,10.571269756773091
0.7,0,0.20342500000000002,ucp_gg1_feedback,0.9540318456027153,6.377730695373588,64,4844,13.212221304706853,7.570610513466448
0.7,1,0.205675,ucp,0.8522000514513446,8.351377935063518,498,6124,81.319399085565,24.116448632326552
0.7,1,0.205675,ucp_gg1,0.9336712390522496,7.440633653089037,207,5198,39.823008849557525,10.822832970849788
0.7,1,0.205675,ucp_gg1_feedback,0.9421817095945119,7.315756883625392,167,5106,32.7066196631414,9.434183463966974
0.7,2,0.20286249999999997,ucp,0.8628605834464679,7.109182986212583,362,5854,61.838059446532284,21.98167782965939
0.7,2,0.20286249999999997,ucp_gg1,0.9295671052554073,5.904817023950395,101,4818,20.963055209630554,11.289483649520974
0.7,2,0.20286249999999997,ucp_gg1_feedback,0.9417626859627407,5.240915040388754,27,4496,6.005338078291815,9.33468952255626
0.7,3,0.20536249999999998,ucp,0.862064263425555,7.387169991449136,416,5996,69.37958639092729,22.631683676006986
0.7,3,0.20536249999999998,ucp_gg1,0.8980487668096053,6.661877561075215,235,5142,45.70206145468689,16.72755818937867
0.7,3,0.20536249999999998,ucp_gg1_feedback,0.9332294246934514,6.047140276453198,68,4786,14.20810697868784,10.95532294045671
0.7,4,0.2032375,ucp,0.8623458033454058,7.942968582419702,496,6020,82.39202657807309,22.49198874360377
0.7,4,0.2032375,ucp_gg1,0.9254985776238834,6.932597320578452,245,5070,48.323471400394475,12.173149778141237
0.7,4,0.2032375,ucp_gg1_feedback,0.94184235196844,6.379080517216418,159,4766,33.361309274024336,9.50266099160487
0.7,5,0.20511250000000003,ucp,0.8718936303735951,7.067967299804285,302,5894,51.238547675602305,21.164641363033724
0.7,5,0.20511250000000003,ucp_gg1,0.8950874947855219,6.651159011915318,218,5256,41.47640791476408,17.332748979127786
0.7,5,0.20511250000000003,ucp_gg1_feedback,0.9260500570344362,6.154128229721968,119,4806,24.760715771951727,12.217378622525246
0.7,6,0.20310000000000003,ucp,0.8707529631065956,7.453874228150703,397,5962,66.58839315665884,21.064192167925142
0.7,6,0.20310000000000003,ucp_gg1,0.9024348002193723,6.78115149521201,258,5196,49.65357967667436,15.900806443834426
0.7,6,0.20310000000000003,ucp_gg1_feedback,0.9422405696164157,6.135331067899366,76,4732,16.06086221470837,9.413413029446417
0.7,7,0.2083875,ucp,0.8708841558831875,7.620379257834486,428,6340,67.50788643533123,21.621122345536406
0.7,7,0.2083875,ucp_gg1,0.9024950138383162,6.745253685159865,265,5354,49.49570414643257,16.32771910776742
0.7,7,0.2083875,ucp_gg1_feedback,0.9332681114316732,6.213066717919769,110,4930,22.31237322515213,11.174603217395713
0.7,8,0.20472500000000002,ucp,0.8658569283881196,8.0078897312161,434,6100,71.14754098360656,22.02683927590536
0.7,8,0.20472500000000002,ucp_gg1,0.9221824401830641,6.9592953624553715,211,5278,39.97726411519515,12.777960593374331
0.7,8,0.20472500000000002,ucp_gg1_feedback,0.9605238316527837,6.260518187360388,88,4896,17.973856209150327,6.482147791639704
0.7,9,0.20829999999999996,ucp,0.8582380036052368,7.854058939821309,422,6178,68.306895435416,23.939709863585392
0.7,9,0.20829999999999996,ucp_gg1,0.9326780213344394,6.874466175822467,152,5142,29.56048230260599,11.368834226967351
0.7,9,0.20829999999999996,ucp_gg1_feedback,0.9359358170273305,6.395560188732432,86,4864,17.68092105263158,10.818681960026424
0.7,10,0.205725,ucp,0.8664409791636852,7.102733373076115,339,5922,57.24417426545086,21.87853283999175
0.7,10,0.205725,ucp_gg1,0.899549398211402,6.353811387482432,168,5280,31.818181818181817,16.45498579030624
0.7,10,0.205725,ucp_gg1_feedback,0.9150581071919234,5.819905958658491,100,4954,20.185708518368994,13.914477507065271
0.7,11,0.205325,ucp,0.8603319028141753,7.8570720610098,508,6270,81.0207336523126,23.337992504739503
0.7,11,0.205325,ucp_gg1,0.8994283688510627,7.346108608294308,342,5236,65.3170359052712,16.805126018295482
0.7,11,0.205325,ucp_gg1_feedback,0.9268275179624288,6.371749302196582,154,4814,31.99002908184462,12.226835417353584
0.9,0,0.240975,ucp,0.8211486406896253,10.563732993718101,806,6974,115.57212503584744,33.4595233548236
0.9,0,0.240975,ucp_gg1,0.9145813937634895,8.861955957676754,340,5670,59.9647266313933,15.980118134563241
0.9,0,0.240975,ucp_gg1_feedback,0.9357410274681912,7.995931162460579,176,5384,32.68945022288261,12.02157255318275
0.9,1,0.24407500000000001,ucp,0.8090021167859461,11.01125751524833,937,7308,128.21565407772303,35.16141647895799
0.9,1,0.24407500000000001,ucp_gg1,0.9135289459068299,9.113198654277836,425,6138,69.24079504724666,15.918735303139414
0.9,1,0.24407500000000001,ucp_gg1_feedback,0.9440493685716587,8.273408966457179,235,5732,40.997906489881366,10.3001322360615
