window,phase,oracle_utility,oracle_cumulative,ucp_utility,ucp_cumulative,ucp_allocation,ucp_gg1_utility,ucp_gg1_cumulative,ucp_gg1_allocation,ucp_gg1_feedback_utility,ucp_gg1_feedback_cumulative,ucp_gg1_feedback_allocation
24,synchronized,5.019009203077461,136.00821598891295,5.019009203077461,104.94387652541134,2;0;2;0,5.019009203077461,122.42781765786778,2;0;2;0,5.019009203077461,126.38636323924827,2;0;2;0
25,synchronized,5.137418002480066,141.14563399139303,5.137418002480066,110.0812945278914,2;0;2;0,5.137418002480066,127.56523566034784,2;0;2;0,5.137418002480066,131.52378124172833,2;0;2;0
26,synchronized,5.172046551406176,146.3176805427992,5.172046551406176,115.25334107929757,2;0;2;0,5.172046551406176,132.737282211754,2;0;2;0,5.172046551406176,136.6958277931345,2;0;2;0
27,synchronized,5.1015953313514775,151.41927587415069,5.1015953313514775,120.35493641064905,2;0;2;0,5.1015953313514775,137.8388775431055,2;0;2;0,5.1015953313514775,141.797423124486,2;0;2;0
28,synchronized,5.210882929869152,156.63015880401983,5.210882929869152,125.5658193405182,2;0;2;0,5.210882929869152,143.04976047297464,2;0;2;0,5.210882929869152,147.00830605435513,2;0;2;0
29,synchronized,5.22321350367121,161.85337230769105,5.22321350367121,130.78903284418942,2;0;2;0,5.22321350367121,148.27297397664586,2;0;2;0,5.22321350367121,152.23151955802635,2;0;2;0
30,recovery,2.1019426739636256,163.95531498165468,2.1019426739636256,132.89097551815306,2;0;2;0,2.1019426739636256,150.3749166506095,2;0;2;0,2.1019426739636256,154.33346223198998,2;0;2;0
31,recovery,3.132198085696356,167.08751306735104,2.6913174917217546,135.5822930098748,2;0;2;0,2.6913174917217546,153.06623414233124,2;0;2;0,2.6913174917217546,157.02477972371173,2;0;2;0
32,recovery,2.607824920618826,169.69533798796988,2.176880940823277,137.75917395069808,3;1;0;0,1.9925486608676513,155.05878280319888,4;0;0;0,1.9925486608676513,159.01732838457937,4;0;0;0
33,recovery,2.333716792244966,172.02905478021484,1.7794241118857097,139.5385980625838,1;3;0;0,1.5072106919817887,156.56599349518066,0;4;0;0,1.5072106919817887,160.52453907656115,0;4;0;0
34,recovery,3.1331292833292315,175.16218406354406,2.806413743478173,142.34501180606196,2;0;2;0,2.806413743478173,159.37240723865884,2;0;2;0,2.806413743478173,163.33095282003933,2;0;2;0
35,recovery,2.0962837782144925,177.25846784175855,2.0723509891571297,144.4173627952191,3;1;0;0,2.0962837782144925,161.46869101687332,4;0;0;0,2.0962837782144925,165.4272365982538,4;0;0;0
36,recovery,2.5174848644488885,179.77595270620742,2.3618346597779167,146.77919745499702,3;0;1;0,2.5174848644488885,163.9861758813222,4;0;0;0,2.5174848644488885,167.9447214627027,4;0;0;0
37,recovery,2.613396408909946,182.38934911511737,2.501187132406289,149.28038458740332,3;1;0;0,2.613396408909946,166.59957229023215,4;0;0;0,2.613396408909946,170.55811787161264,4;0;0;0
38,recovery,2.407936520803123,184.7972856359205,2.2477190033715964,151.52810359077492,3;0;1;0,2.407936520803123,169.00750881103528,4;0;0;0,2.407936520803123,172.96605439241577,4;0;0;0
39,recovery,2.282776175400126,187.08006181132063,2.0924348657221126,153.62053845649703,4;0;0;0,2.0924348657221126,171.0999436767574,4;0;0;0,2.0924348657221126,175.05848925813788,4;0;0;0
